2025-09-03 20:43:48 | model                | INFO     | Model saved successfully: ./model/model_latest.pth
2025-09-03 20:43:56 | model                | INFO     | Model saved successfully: ./model/model_latest.pth
2025-09-03 20:43:57 | model                | INFO     | Model saved successfully: ./model/model_latest.pth
2025-09-03 20:43:59 | model                | INFO     | Model saved successfully: ./model/model_latest.pth
2025-09-03 20:44:08 | model                | INFO     | Model saved successfully: ./model/model_latest.pth
2025-09-03 20:44:14 | model                | INFO     | Model saved successfully: ./model/model_latest.pth
2025-09-03 20:44:14 | training.main        | INFO     | 🏆 NEW RECORD! Game 73: {'game': 73, 'score': 2, 'record': 2, 'epsilon': '10.000', 'moves': 2, 'duration': '5.55s'}
2025-09-03 20:44:25 | model                | INFO     | Model saved successfully: ./model/model_latest.pth
2025-09-03 20:44:39 | model                | INFO     | Model saved successfully: ./model/model_latest.pth
2025-09-03 20:44:43 | model                | INFO     | Model saved successfully: ./model/model_latest.pth
2025-09-03 20:44:44 | model                | INFO     | Model saved successfully: ./model/model_latest.pth
2025-09-03 20:44:52 | model                | INFO     | Model saved successfully: ./model/model_latest.pth
2025-09-03 20:45:02 | model                | INFO     | Model saved successfully: ./model/model_latest.pth
2025-09-03 20:45:07 | model                | INFO     | Model saved successfully: ./model/model_latest.pth
2025-09-03 20:45:16 | model                | INFO     | Model saved successfully: ./model/model.pth
2025-09-03 20:45:16 | training.main        | INFO     | 💾 Model saved: ./model/model.pth (Score: 3)
2025-09-03 20:45:16 | model                | INFO     | Model saved successfully: ./model/model_latest.pth
2025-09-03 20:45:16 | training.main        | INFO     | 🏆 NEW RECORD! Game 81: {'game': 81, 'score': 3, 'record': 3, 'epsilon': '10.000', 'moves': 2, 'duration': '8.77s'}
2025-09-03 20:45:21 | model                | INFO     | Model saved successfully: ./model/model_latest.pth
2025-09-03 20:45:23 | model                | INFO     | Model saved successfully: ./model/model_latest.pth
2025-09-03 20:45:28 | model                | INFO     | Model saved successfully: ./model/model_latest.pth
2025-09-03 20:45:30 | model                | INFO     | Model saved successfully: ./model/model_latest.pth
2025-09-03 20:45:37 | model                | INFO     | Model saved successfully: ./model/model_latest.pth
2025-09-03 20:45:42 | model                | INFO     | Model saved successfully: ./model/model_latest.pth
2025-09-03 20:45:47 | model                | INFO     | Model saved successfully: ./model/model_latest.pth
2025-09-03 20:45:49 | model                | INFO     | Model saved successfully: ./model/model_latest.pth
